Summary,Priority,Severity
[target] Allow multiselection and delete key on target location tab,P3,normal
[target] [tests] Target tests failing in I Build,P3,normal
[target] Update button in the target provisioner,P3,enhancement
[target] disabled 'Content' tab shows checkbox without label,P3,trivial
[target] ease restrictions on software site locations,P3,enhancement
Tracing tab should not remember selection,P3,normal
[target] removing IU bundle container while resolving results in NPE,P3,normal
"[target] Content tab does not show ""resolving"" on secondary resolutions",P3,normal
[target] unable to remove things from target platform,P3,normal
[target] 'Move' button mislabeled and confusing,P3,enhancement
Mnemonic collision on debug preference page,P3,trivial
[target] Font leak in target platform preference page,P3,normal
[export] categories grouped under wrong setting,P3,normal
Active target and default baseline in PDE perspective,P3,enhancement
[target] NPE in NameVersionDescriptor.hashCode(...),P3,normal
[target] JRE sections named differently,P3,minor
Export wizards have missing mnemonics,P3,trivial
[category def] Category help link brings up wrong help contents,P3,normal
"org.eclipse.pde.core.javadoc only works with ""!/"" as trailing chars for archives",P3,normal
BrowserInformationControl leaks TextLayout,P3,major
[regression] All resources missing when importing plugin as source project,P3,major
executeCommand('org.eclipse.ui.window.preferences(preferencePageId=org.eclipse.pde.ui.TargetPlatformPreferencePage)') do not open Target Platform page,P3,normal
[target] Target platform created with 3.4 doesn't work with 3.5,P3,normal
RCP application does not launch when having an own config.ini with generic bundle URLs,P3,major
[target] Edit Target dialog does not use sentence case,P3,normal
NPE when product does not want to show filter,P3,major
[target] Variables buttons on arguments tab are different sizes,P3,trivial
[import] [regression] Import as source,P3,major
Clean + build ==> NPE in FeatureErrorReporter.validateVersion,P3,major
Make PDE completion proposals auto-insertable,P3,enhancement
Should warn if multiple plugin projects in workspace with the same name,P3,enhancement
Application.close() method provided by template is not correct,P3,minor
Fatal error written to console while editing and/or saving plugin.xml,P3,normal
Dynamic help not working on extension point template configuration dialog,P3,normal
"""Plug-in with a property page"" template generates incorrect code",P3,minor
non-externalized string warning in P2Utils,P3,normal
'Scrapbook Page' wizard icons does not have the + sign,P3,minor
'Scrapbook Page' wizard needs a description,P3,normal
Deselecting 'Include all plug-ins from target in Java search' does not remove them,P3,normal
[import] Import holding on to import streams longer than it should be,P3,normal
Eclipse RCP with a view template,P3,normal
[import] Plug-in import wizard should use qualifier color to render the version,P3,trivial
UI polish for Delete Plug-in Projects dialog,P3,trivial
Polish 'Delete Plug-in Projects' dialog,P3,trivial
[spy] NullPointerException while invoking the Plug-in Spy,P3,normal
pde.core has no range for required bundle org.eclipse.equinox.p2.touchpoint.eclipse,P3,normal
Dead code in pde.ui,P3,normal
Plug-ins view Removing from Java Search should not be allowed if global pref is enabled,P3,normal
"Rename ""PDE Tools"" menu",P3,normal
PDE warns that symbolic names containing dash ('-') characters are invalid when specified in the id attribute of the plugin element of a feature.xml,P3,normal
feature based target with 'feature locations' does not work properly,P3,normal
timestamp attribute in launch configurations annoying when versioning .launch files,P3,normal
The Plug-in Manifest Editor seems to duplicate the quick fix menu,P3,normal
Filtering in Error Log view is voodoo,P3,normal
Compiler warnings in N20100329-2000,P3,normal
pde.exportPlugins ant task doesn't support cycles,P3,enhancement
Translation Question - WSW36#078,P3,normal
Two broken links on page /org.eclipse.jdt.doc.user/reference/ref-menu-navigate.htm,P3,normal
BuildErrorReporter.validateExecutionEnvironment(...) wrongly write to .log,P3,major
Non-NLS'd string,P3,normal
NPE launching with features and external resolution mode,P3,normal
restart needed to clean up target issues,P3,normal
[Manifest][Editors] Browse for class attribute types fails to filter if only interface given,P3,normal
'Bundles/'Plug-ins' launch configuration tab does not honour dialog font,P3,normal
"Missing ""select all"" button in ""Debug Configuration"" -> ...",P3,minor
[target] Finish button is enabled with nothing selected on add software site wizard,P3,normal
Plug-ins view: change mnemonic in Import As from I to m,P3,trivial
Support Import operations on 'Plug-in Dependencies' entries in Project and Package Explorer,P3,enhancement
NPE during Add Artifact to Target Platform,P3,normal
NPE from import page crashes Eclipse,P3,major
[doc] Missing degredation comment for SchemaTraversePerfTest#testSchemaTraverse(),P3,normal
Resize api-deprecation.png to fit Help center,P3,normal
Add doc for PDE property pages,P3,normal
"Plug-in Dependencies view: Jumpy ""Focus On..."" toolbar button",P3,normal
Update the snapshot of extension points page,P3,normal
PDE feature should be increased to 3.7.0,P3,trivial
Open Plug-in Artifact dialog shows wrong labels,P3,normal
Move to J2SE-1.5 BREE,P3,normal
build.properties warning does not disappear after fixing BREE/buildpath,P3,normal
New Feature Project->Referenced Plug-ins and Fragments multiselection functionality,P3,normal
NPE : Cannot import project as source from target platform,P3,normal
[patch] SelfHostingProfile needs environment properties,P3,normal
Update link to J2SE 1.4 Javadocs,P3,normal
Confusing BREE quick fix proposal,P3,normal
Bad comparison in ProfileBundleContainer.isContentEqual(),P3,normal
NPE starting workbench,P3,normal
Target Export wizard does not produce repos,P3,normal
API Tools ant tasks should use links/profile metadata to discover bundles in an installation,P3,normal
Plugin State view opens incorrect version of bundle,P3,normal
version 0.0.0 for .target resolves to '0 plug-ins available' when newer plug-ins are available in other software sites,P3,normal
Conflicting mnemonic in 'Edit Target Definition',P3,normal
pressing 'next' on plug-in import wizard first page can take time,P3,normal
[product] Product Properties don't get saved without plugin configuration,P3,normal
"Import Plug-ins and fragments wizard ""Target Definitions..."" button",P3,normal
ProfileChangeRequest should be created via API,P3,normal
Windows File Locks are obtained on bundles exporting extension points and not released.,P3,normal
Can't remove missing plug-in through the Target Definition editor,P3,major
Tracing tab is the new new dirty button,P3,normal
[regression] NPE running Ant task,P3,major
Explain 'scopepattern' and 'referencepattern' better on API Use Ant Task help page,P3,normal
PluginContentMergeViewer leaks listeners,P3,normal
Plugin launch configuration does not include Bundle-Classpath jar files,P3,normal
[target] Target provisioning should use local artifact repos,P3,enhancement
UseScanParser ignores result of visit methods,P3,normal
double clicking on required features does not open feature,P3,normal
Conflicting mnemonic in 'Edit Target Definition' Tab,P3,normal
Preference page should use sentence casing for groups,P3,minor
[target] use a unique p2 agent,P3,normal
[target] Would you like source with that?,P3,enhancement
Provide a consumer based report launch config UI,P3,normal
Compiler warnings in N20101108-2000 build,P3,normal
Compiler warnings in N20101108-2000 build,P3,normal
New screenshot for API Use Report launch tab,P3,normal
PackageFinder.findPackagesInClassFiles may produce invalid package names,P3,normal
Syntax error in plugin.xml should not be written to System.out,P3,normal
'Error Log' view's 'Log Filters' dialog should support multiselection in its list of stack trace elements,P3,normal
NPE setting extra classpath entry,P3,normal
Investigate support for generating .api_description files for bundles that are not API tools enabled,P3,enhancement
"[patch] Make ""Open Manifest"" bound to a command",P3,normal
"[target] Target editor should update its content, if the target file was edited with another eclipse editor",P3,normal
Update general preference page documentation and screenshots,P3,normal
"""Workspace Cannot Be Locked"" dialog should have an edit button",P3,enhancement
NPE makes API Use Scan Pref Page unusable,P3,normal
Add help doc for api use scan pref page,P3,normal
Polish Use Scan Feature II,P3,normal
API Use Scan problem description can get too long,P3,normal
Stack overflow in P2TargetUtils,P3,normal
Modifying directory on api use report configuration does not make tab dirty,P3,normal
Provide problem/reference counts in xml from Analysis and Use Scan tasks,P3,enhancement
Fix for wrong usages of affect* and effect*,P3,trivial
IllegalArgumentException in BundleManifestSourceLocationManager,P3,normal
NPE when trying to import projects from a repo for running platform,P3,normal
Invalid thread access on 'add depenencies' in Manifest editor,P3,normal
Polish Use Scan Feature III,P3,enhancement
Internal error when trying to update a feature.xml file,P3,normal
FeatureExportOperation does not setup the container feature properly,P3,normal
[target] IU containers do not report all contained features,P3,major
NPE when importing binary plug-ins,P3,critical
Reattaching detached 'Error Log' view seems to kill the view,P3,major
Helios Plug-in Development Environment Guide Documentation - Duplicate Entry,P3,trivial
[detail] Widget disposed exception from detail pane proxy,P3,normal
ConcurrentModificationException trying to search in the target platform preference page,P3,normal
Only one package version visible in manifest editor,P3,normal
Exception in quick assist,P3,normal
Event details dialog should have a resizable text field,P3,normal
Breakpoint detail pane created twice,P3,normal
Non UI thread applications no longer have their test harness set,P3,critical
Bundle Editor version value should handle invalid version format,P3,normal
Target Platform service throws exceptions if run without OSGi,P3,normal
Plug-in Manifest Editor adds garbage after '&' mnemonics when saving.,P3,normal
Extension point deletion is non-intuitive,P3,minor
NPE in SchemaErrorReporter during a build,P3,normal
PDE chooses wrong JRE / EE to launch JUnit plugin tests,P3,normal
DS File wizard has confusing error,P3,normal
org.eclipse.pde.doc.user\guide\tools\editors\manifest_editor\automated_management.htm,P3,normal
NPE browsing external plugin on search path,P3,major
Component editor produces invalid MANIFEST.MF - line too long,P3,critical
Better navigation for sub-sections in 'What's new' document,P3,normal
Incorrect casing on API Use Scans tab on error/warnings pref page,P3,trivial
Update what's new for 3.7,P3,normal
Regression to 3.7: 'Select All' on target preference page does nothing,P3,major
Manifest editor Add... imported package thows NPE,P3,major
Example incorrect on target provisioner extension schema,P3,normal
[target] NPE in LoadTargetDefinitionJob#handleReload,P3,normal
Increment version available for plug-in creation,P3,normal
Update target versions in creation wizards and constants,P3,normal
Missing setFocus call on tab selection,P3,normal
PreferencesTests rely on test ordering,P3,normal
[patch] 'Header must be terminated by a line break' quick fix,P3,enhancement
[target] Unexternalized string in New Target Definition wizard,P3,normal
[target] Buttons on Implicit Dependencies tab of New Target Definition wizard not justified,P3,normal
[patch] Optional runtime dependencies in pde.runtime should be non-greedy,P3,normal
ExternalModelManager#extractJar - prove for NPE,P3,trivial
Target Definition Editor > Add > Features dialog box does not sort list of features found,P3,normal
feature editor does not set dirty state on license text editing,P3,normal
Add option to setup API tools when converting a project to a plug-in project,P3,enhancement
[target] NPE in LoadTargetDefinitionJob#handleReload,P3,normal
[target] Target Platform Resolution Fails with unsatisfied dependencies in Indigo but works in Helios SR2,P3,major
Editing the configuration area location doesn't mark the launch configuration as changed,P3,normal
Organize manifest tool should not be available if custom=true is set on build.properties,P3,normal
Replace screenshots and text for changing Provider to Vendor,P3,normal
Incorrect value for Service-Component header when bundle has a custom root,P3,normal
API Tools test failures in I20110729-1200,P3,normal
[target] INVALID externalized string in New Target Definition wizard,P3,normal
ExternalModelManager#extractJar - prove for NPE,P3,trivial
NPE in P2TargetUtils.getAgent(),P3,normal
[patch] Optional runtime dependencies in pde.runtime should be non-greedy,P3,normal
[Regression] ExternalLibraryCache causes false classpath problem markers.,P3,normal
[Compatibility] Many exceptions logged when opening a .ecorediag file,P3,major
Setting Target Platform doesn't update ECLIPSE_HOME until workbench is restarted,P3,major
"Problem with perspectiveExtension relative attribute - ""Referenced part does not exist yet""",P3,normal
"running PluginModelManager.UpdateClasspathsJob causes race condition, locks",P3,normal
NPE searching for references to extension point,P3,normal
'Compilers' preference page has help about the workbench,P3,normal
Import from CVS tests no longer have a repo to import from,P3,normal
Target platform does not recognize bundles with extension other than *.jar,P3,normal
Parent shell incorrect for 'Plug-in Selection' dialog,P3,normal
Update the screen shots for the API Tools errors / warnings page,P3,normal
Out of synch exception while running the API tools builder,P3,normal
Fix 'Import from repository' menu label,P3,trivial
Fix screenshots for compilers preference page,P3,normal
"Inconvenient representation of children of org.eclipse.ui.activities, org.eclipse.ui.handlers nodes when editing a plugin.xml",P3,enhancement
PDE core target package is broken in the git repository,P3,major
Use menus extension point instead of popupmenus,P3,normal
[target] Versions are improperly compared when resolving to the latest version,P3,normal
Convert to Plug-in Projects... dialog should remember settings,P3,normal
Set new text file line delimiter to Unix to prevent conflicts,P3,normal
Set new text file line delimiter to Unix to prevent conflicts,P3,normal
Set new text file line delimiter to Unix to prevent conflicts,P3,normal
Make TargetPlatformService#newDefaultTargetDefinition() public,P3,normal
"API Usage Problem ""Execution environment references were not checked""",P3,normal
[target] Target persistence for contributed locations is incorrect,P3,normal
AFE in BundleImporterTests.testGetImportDescriptions(BundleImporterTests.java:46),P3,normal
Editing the configuration area location doesn't mark the launch configuration as changed,P3,normal
NPE in Performance Tests run on N20111105-2000,P3,normal
Cannot create build script anymore: NPE thrown during the operation,P3,critical
Create branch for integration build,P3,normal
pde.doc.user bundle version needs to be incremented in the 3.7.x stream,P3,normal
Variable fails to be resolved in features folder for Target Platform definition,P3,normal
"With fix for 357110, member types are processed more than once",P3,normal
map files still refer to CVS locations for pde.api tools features,P3,normal
Have target feature tests use test data instead of JDT feature,P3,normal
org.eclipse.pde.api.tools exports a package it does not have,P3,minor
PDE wizard doesn't properly set the API Tools nature and builder when creating a new plug-in project,P3,normal
"Missing exported package on org.eclipse.pde.ui, compiler option is set to ignore",P3,normal
NPE on loading PDE Target Platform with DirectoryBundleContainer having jars with non-OSGi manifests,P3,major
Backport Bug 355890 - Target platform does not recognize bundles with extension other than *.jar,P3,normal
'Test project missing from workspace baseline' test failures,P3,normal
[target] Regression: Target resolution is fail fast and can not read non-osgi plug-ins,P3,normal
Revert support for pre-release versions,P3,normal
'Tracing' preference page needs polish,P3,normal
'Tracing' page content feels odd,P3,normal
[target] LoadTargetDefinitionJob deadlocks when loading target definition,P3,normal
misleading state of tracing preference,P3,normal
[trace] Clean up useless tracing options in tracing plug-in,P3,normal
[trace] Document for tracing preference page,P3,normal
Update doc for software site target location,P3,normal
Missing setFocus() call on maximize/minimize/restore of stack,P3,normal
Quick Access drop-down list is overly wide,P3,normal
Cheese in the manifest editor,P3,normal
Update doc and screenshots for new extensions editor enhancements,P3,normal
Buttons in extension editor are broken,P3,blocker
Arrow keys in quick access dialog also move carat in search box,P3,normal
Remove build notes,P3,normal
NPE opening launch configurations dialog,P3,normal
Product editor should allow 256x256 window icon,P3,enhancement
[quick fix] Add 'org.junit' to required bundles appears twice,P3,normal
Target platform state view screenshot needs updating,P3,normal
bundleClasspathResolvers and other extension points do not appear in doc,P3,normal
"Remove ""Installation Details"" from feature editor",P3,normal
Incorrect version range created if minimum version is omitted,P3,major
resolver.devMode should be resolution.devMode,P3,normal
Fix mixed line delimiters,P3,normal
Need to remove org.eclipse.pde from parent pom,P3,normal
Pull request to bump versions in pom files,P3,normal
Test failure TargetDefinitionResolutionTests.testClassicInstallResolution,P3,normal
Several API packages are missing 'package.html',P3,normal
The Wizard mentioned for Java Project to PDE migration is not visible,P3,major
Empty sections in PDE what's new,P3,normal
Javadoc errors in org.eclipse.pde.core.target,P3,normal
org.eclipse.pde.core.build has no package.html,P3,minor
Add Eclipse-BundleShape: dir to api tools tests,P3,minor
Text slightly confusing on New Feature Patch Project wizard doc,P3,trivial
Multipage editor gets badly confused,P3,major
Generated extension point schema document has HTML errors,P3,normal
"Typo in ""Key 'mathProcessorName' is not found localization properties file""",P3,trivial
"Run button defaults to RAP in the ""Eclipse for RCP and RAP Developers"" download",P3,normal
WSW38 DVT: Broken Links in Help,P3,normal
Compilation problems when using 1.6 compatibility,P3,normal
[target] Active target platform is not in sync after restart,P3,normal
Cannot open fragment - ClassCastException,P3,critical
Host OSGi console warning does not show newline,P3,trivial
PDE import is over writing the build.properties file,P3,normal
TargetEnvironmentTestCase tests fail locally,P3,normal
Create Ant Build file action fails silently on projects,P3,normal
OpenSchemaAction does not handle locations with + in it,P3,normal
getImported packages does not work when creating a plugin template,P3,normal
Extension point schema editor opens as read-only from plugin.xml editor,P3,normal
New PDE launch configuration does not check bundles in workspace not found in target platform,P3,normal
JREContainer.RuleEntry#equals returns to early,P3,normal
Add help doc for Plug-in Image Browser view,P3,normal
Cannot open context help with launch config or type selected in any launch configuration dialog,P3,normal
Do not add all EEs to ant properties to avoid 206 filename or extension is too long errors,P3,normal
[product] Cannot remove the version in Eclipse 4.3 Integration build,P3,major
Samples cannot be loaded from the welcome page,P3,major
"running PluginModelManager.UpdateClasspathsJob causes race condition, locks",P3,normal
Samples cannot be loaded from the welcome page,P3,major
org.eclipse.pde.build.internal.tests.p2.P2Tests.testP2SimpleProduct() fails in 4.2.2 builds,P3,normal
7 failing tests,P3,normal
"org.eclipse.pde plugin version is 3.7.0 in Kepler & Juno, but 3.7.2 was released in Indigo.",P3,normal
Test failures in recent builds,P3,normal
PDE Build test failures due to JUnit 3 removal,P3,normal
[CBI] 12 Build test failures in CBI builds,P3,normal
Delete API Tools EE Description features (individual EE features),P3,normal
Keyboard shortcuts sometimes do not work for other windows,P3,normal
PDE UI Test failures due to incorrect source bundle structure in CBI builds,P3,normal
Broken problem category managements in PDE UI,P3,normal
Move POM version tool from PDE to Releng Tools,P3,normal
Deprecate org.eclipse.pde.core.plugin.IPluginModelBase.getNLLookupLocation(),P3,normal
[target] Target definition fails to load bundles when available from multiple directory bundle locations,P3,normal
ApiBaselineManagerTests.testWPUpdateSourceInnerTypeChanged failed,P3,normal
Unsupported tag on a secondary type causes two problems to be created,P3,major
Default auto start true has no effect when selected_target_plugins/selected_workspace_plugins not set,P3,normal
Treat old style (pre-osgi) plugins as valid bundles,P3,normal
Restore defaults doesn't work on the API Use Scans preference page,P3,normal
Context menu not available on minimized shared area,P3,normal
Update copyrights in branding bundles (about.properties),P3,normal
"Rename label ""Generate metadata repository"" to ""Generate p2 repository""",P3,normal
Eclipse4 prevents second app from starting when mixing -data,P3,normal
Quick Access doesn't allow to show all matches any more,P3,normal
How to use shared license should be documented in Help,P3,enhancement
Change keybindings in RCP Mail template,P3,normal
[plugin] NPE from plug-in extensions editor,P3,normal
NPE in FindClassResolutionsOperation$AbstractClassResolutionCollector.addExportPackageResolutionModification(FindClassResolutionsOperation.java:56),P3,normal
Quick fix to add require bundle for missing class does not check if that class is visible,P3,minor
org.eclipse.pde.junit.runtime has a required dependency on org.eclipse.ui now,P3,normal
Expand tag tests for @noreference,P3,normal
No separate error level for referencing a type marked @noreference,P3,normal
Missing Non-NLS tag in LaunchArgumentsHelper,P3,trivial
Find broken NLS strings in PDE UI / API Tools,P3,normal
CCE when trying to close minimized view via context menu,P3,normal
Can't launch second runtime workbench when org.eclipse.equinox.launcher is in workspace,P3,normal
Run fix copyrights tool on PDE UI/API Tools bundles,P3,normal
More forceful wording about adding OSGi bundle manifest in manifest editor,P3,normal
Wrong status after canceling target resolver,P3,minor
Eclipse App debug launcher creates a new config.ini & doesn't copy from the host eclipse,P3,normal
PomVersionErrorReporter#validate throws IOE: invalid header field,P3,normal
Add 4.3 examples to PDE's download site,P3,normal
Minimizing Editor Stack does not minimise to tool bar,P3,normal
XML export doesn't export source bundles,P3,normal
"ConcurrentModificationException during ""Load Target Platform"".",P3,normal
Open extension point schema from context menu broken again,P3,normal
"Unexpected ""is not externalized"" problem reported",P3,normal
Can't change API baseline location,P3,normal
PDE target definition serialization - keep included bundle list sorted,P3,normal
A message should be generated if PlatformAdmin is not available,P3,normal
OSGi wrongly reports that 'org.eclipse.osgi.compatibility.state' is missing,P3,normal
PDE UI should only start UI job if really needed,P3,normal
POM version problem reporter could also support feature versions,P3,enhancement
Minimizing Editor Stack does not minimise to tool bar,P3,normal
Plug-in import wizard no longer shows bundles that are disabled in the target,P3,critical
Add identifier-type to extension point schemas,P3,major
Luna should allow to convert 2.0-style plug-in to OSGi bundle with manifest,P3,blocker
Change format on save options to reduce gratuitous changes in patches,P3,normal
"TargetLocationContentProvider shouldn't check ""instanceof MultiStatus""",P3,normal
asm.tree needs to be added to pde feature,P3,normal
Very long build times after plugin manifest update,P3,critical
Javadoc tags to annotations wizard does not report progress,P3,normal
missing about.html in 'source' jar,P3,major
Regression: Plug-ins view:  Find References shows nothing,P3,normal
[target][p2] Update function of target editor does not re-resolve target,P3,critical
NPE in Tracing UI if started w/o workspace,P3,normal
Move JavadocHoverStyleSheet.css to css folder,P3,trivial
NPE while editing target file,P3,normal
[target] User cannot reload p2 target after error resolving,P3,major
[perspective] The show in menu for PDE perspective should include package explorer,P3,trivial
CompareToBaselineWizard fails in Eclipse 4.4,P3,normal
PDE build test test234032 fails on all the platforms,P3,normal
"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"". (err_grp: b7cd0245)",P3,normal
[FastView] Deprecated Fast View API,P3,normal
[PDEMultiPageContentOutline] Remove use of deprecated methods,P3,normal
[Jobs] Property IProgressConstants2.SHOW_IN_TASKBAR_ICON_PROPERTY no longer respected,P3,minor
[Win32] RGBA hashCode looses alpha information,P3,normal
[CSS] Use Batik 1.7,P3,normal
[Markers] Broken double checked locking in MarkerSupportRegistry,P3,normal
Start e4 RCP several times fails,P3,normal
[Compatibility] List of recently opened editors not persisted across workbench restarts,P3,normal
[CSS] Can not change View Title Fonts in preference,P3,normal
[Perspectives] [Compare] NPE in ContentMergeViewerLayout.layout,P3,major
[CSS] Understand default behaviour if product doesn't specify a theme,P3,major
"[CSS] ""View and Editor Folders"" color preferences don't work",P3,normal
[Compatibility] IWorkbenchSiteProgressService.warnOfContentChange not implemented in 4.x,P3,normal
[MinMax] Closing the last perspective in a minimized perspective stack leaves the model in a strange state,P3,normal
-perspective at product program arguments is not working in 4.2M6,P3,normal
Can't launch 3.x RCP app with -data @none,P3,normal
JUnit view icon no longer shows progress while executing tests,P3,major
Compatibility: Editor actions registered via extension point org.eclipse.ui.editorActions are shown twice in the toolbar.,P3,major
IWorkbenchPreferenceConstants.SHOW_PROGRESS_ON_STARTUP does nothing,P3,normal
Error in editor initialization cause NPE in accessing compatibility editor,P3,major
Key bindings for custom context no longer works and conflicts are reported,P3,normal
The contribution to main tool bar doesn't work.,P3,normal
[Contributions] ClassCastException with action sets: OpaqueToolItemImpl cannot be cast to MTrimElement,P3,major
Unable to get dropdown menu in ToolItem to display,P3,normal
"IWorkbench.showPerspective(id, window) not working after switching to 4.2.1 target",P3,normal
AbstractEList$BasicIndexOutOfBoundsException when opening a context menu,P3,normal
Command org.eclipse.ui.file.save always disabled,P3,normal
[CSS] Un-readable tab names when using High Contrast mode.,P3,normal
hiddenToolBarItem perspective extension does not react to perspective changes,P3,normal
The NPE when the editor with invalid resource gets active,P3,normal
"Workbench window flickers, frequent view redraws",P3,major
View title still italic (busy) when view is up-to-date,P3,normal
Save All is disabled only after 2nd click,P3,normal
CCE when assigning a different key binding to a command,P3,major
The ImportExportPage filters allows an empty category to appear,P3,normal
[Perspectives] Complex Placeholderfolder construct does not get rendered,P3,major
[WorkingSets] Working sets reset after closing eclipse,P3,normal
Make Quick Access smaller,P3,normal
[CSS] Stream leaks in AbstractCSSEngine,P3,normal
Busy (italic) view title not redrawn promptly with Classic theme,P3,normal
Key bindings for custom context no longer works and conflicts are reported,P3,normal
"[Code review] The ""perspective"" string should be turned into a constant on E4Application",P3,normal
[Perspective] NPE during closing workspace with perspective opened with the '-perspective' option,P3,normal
[Perspectives] [regression] NPE when running 3.x RCP applications,P3,major
[Contributions] Menu bar not displayed,P3,normal
[CSS] Provide some reasonable bridge interactions between CSS and our older Colors and Fonts properties,P3,normal
[CSS] Provide the CSS support for defining the new font and color definitions,P3,normal
[Wizards] new search wizard does not seem to search submenus,P3,normal
[CSS] org.eclipse.e4.ui.tests.css.swt should require org.eclipse.ui,P3,normal
[CSS] styling for preference values,P3,normal
[CSS] Update the classic theme to use the default color and font definitions,P3,normal
[CSS] IAE exception when switching between CSS stylesheets with combo,P3,critical
[CSS] Improvement of the CSS theme switching and applying the new stylesheet in runtime,P3,normal
[CSS] CSS does not work with Eclipse 4.4,P3,major
[CSS] [Themes] org.eclipse.ui.themes plugin throws  java.net.MalformedURLException when used in RCP app,P3,normal
[CSS] Colors and Fonts defined in CSS can't be overridden,P3,normal
[CSS] Incorrect color of tabs in inactive part stack,P3,normal
[CSS] Can't modify font colors with preference page for e4 default theme,P3,normal
[CSS] ColorDefinitions defined by CSS and modified by user are wrongly read from preference store,P3,normal
[CSS] NPE in TableItemElement.reset(),P3,normal
[CSS] java.lang.NegativeArraySizeException  in CSSSWTColorHelper,P3,normal
[CSS] Update the 'e4 default' theme with the 'active.noFocus' state,P3,normal
[CSS] New FontDefiniotions defined in CSS are not merged with 3.x theme registry,P3,normal
[CSS] The 'ACTIVE_NOFOCUS_TAB_TEXT_COLOR' foreground is applied for the entire MPartStack in the 'classic' themes,P3,normal
[Themes] Dark theme workspace launcher dialog problem,P3,normal
[Trim] Fast views get created on start-up,P3,major
[Themes] Trying to switch themes gives an exception,P3,major
[ViewMgmt] FileNotFoundException after renaming the icon file or folder,P3,normal
[Themes] [CSS] Failure in StylingPreferencesHandlerTest.testOnDisplayDisposed,P3,normal
Regression: Border around views is gone,P3,normal
[CSS] Performance issue with build I20140428-2000,P3,critical
[CSS] Trees sometimes don't redraw and leave cheese in Navigator,P3,major
[CSS] Theme-specific colors override user-configured colors on restart,P3,major
java.lang.NoSuchMethodError: org.eclipse.e4.ui.css.swt.helpers.EclipsePreferencesHelper.getOverriddenPropertyNames(Lorg/eclipse/core/runtime/preferences/IEclipsePreferences;)Ljava/util/List;,P3,blocker
[CSS] Override the preferences customized by the user with the proper CSS values,P3,normal
[CSS] PreTVT44: Non-externalized strings on Colors and Fonts Preference panel,P3,normal
[ActivityMgmt] Activities should allow default enablement to be controlled by product definition,P3,major
[Import/Export] Button label truncation on Import/Export Preferences dialogs,P3,normal
[Contributions] Tooltips for command,P3,normal
[Preferences] FileEditorsPreferencePage reuses a GridData instance for two different controls,P3,trivial
[Contributions] DynamicToolBarContributionItem needs to proxy more methods,P3,normal
[Preferences] Startup and shutdown preference page: Restore defaults does not work as expected,P3,minor
[WorkingSets] updating of working sets during workbench restore can cause loss of working sets,P3,normal
[Progress] Every user-job causes a busy cursor to be shown for a minimum of 250ms,P3,normal
[QuickAccess] Ctrl+3 dialog too small in High Contrast,P3,normal
[CSS] Console tab flickers when not active,P3,major
New project wizard bases icon on the closed icon (1GEG3RS),P3,normal
[typing] Double-click-drag to select multiple words doesn't work,P3,normal
Have option for showing packages hierarchically,P3,enhancement
JAR exorter problems with META-INF,P3,normal
Not possible to export files directly in source folder,P3,normal
Search using previous search from Java Search page's list gives wrong results,P3,normal
Parameter types not shown in Search view,P3,normal
Replace package name fragments should always be smaller,P3,normal
java browsing: multi-selection disabled in 2 of 4 views,P3,normal
"Compare with patch requires ""Ignore Whitespace"" to be turned off",P3,normal
Casing of message when end of changes needs to be sentence style,P3,normal
Javadoc properties page prevents keyboard navigation,P3,normal
Incorrect grammar in Javadoc location property page,P3,minor
Can't apply patch w/o ignoring whitespace,P3,normal
Applying a patch with deleted package fails,P3,major
Missing mnemonics in patch selection dialog,P3,normal
Deleting a member in Members view not always working,P3,critical
Config dialog in Generate J Doc Wizard look bad,P3,minor
Search View: 'Remove' menu item labels and tool tooltips are inconsistent,P3,normal
Add Javadoc comment broken,P3,major
[Themes] Should use color setting for fonts.,P3,enhancement
Wrong key in plugin.xml,P3,normal
Bug in SearchResultViewer.java,P3,normal
Poor grammar in search error dialog,P3,normal
Export into JAR incorrectly references old description file.,P3,normal
"no mnemonics for Replace, Replace Selected",P3,normal
Keyboard execution of all auto fix hints in current cursor line [quick fix],P3,enhancement
JavaWorkingSetPage.setSelection should work without container being set [general issue],P3,major
ArrayIndexOutOfBoundsException in plugin manifest editor,P3,normal
Search doesn't find References to binary String constants,P3,normal
Line end does not deselect selected line,P3,normal
working sets: empty name inconsistencies [dialogs],P3,minor
edit working set: i'd suggest renaming to 'edit current working set' [wording],P3,minor
Do not show import declarations children on members view [browsing],P3,enhancement
Control+PERIOD does not navigate to next warning,P3,normal
Projects Appear Twice in Projects View,P3,normal
logical packages not recognized as Java by Search [browsing],P3,normal
[misc] Supply more information when file is delete from workspace,P3,enhancement
Java Editors preference page uses externalized values for constant,P3,normal
"[wording] ""Convert Line Delimiters"" action",P3,normal
"[wording] Typo in command ""US ACSII Encoding""",P3,normal
[wording] Title casing issues,P3,minor
[wording] Title casing issues,P3,normal
F1 does not work for programmatically added actions,P3,normal
Unneccessary use of 'w/' for 'with' [Quick fix][wording],P3,trivial
JDT/UI plugin activation fails when activated in non UI thread,P3,normal
core.filebuffers needs package.html and entry in org.eclipse.platform.doc.isc/platformOptions*,P3,trivial
OverviewRuler cannot handle two annotations with same presentation layer,P3,major
Declaration View does not refresh when you change Java-code color preferences,P3,minor
